PRESIDENT,,,,"€240,716",,,,,,
,,,,,,,,,,
VICE PRESIDENT,,,,"€184,171",,,,,,
,,,,,,,,,,
ACADEMIC,,,,,,,,,,
,,5,,,"€79,087",,,,,
,,6,,,"€82,103",,,,,
,,7,,,"€86,389",,,,,
,,8,,,"€90,698",,,,,
EPS CATEGORY SPECIALIST HIGHER,,1,,,"€58,656",,,,,
,,2,,,"€60,174",,,,,
,,3,,,"€61,704",,,,,
,,4,,,"€63,240",,,,,
,,5,,,"€64,775",,,,,
,,6,,,"€66,318",,,,,
,,7,,,"€68,510",,,,,
,,8,,,"€72,779",,,,,
,,,,,,,,,,
EPS CATEGORY SPECIALIST,,1,,,"€44,752",,,,,
,,2,,,"€47,047",,,,,
,,3,,,"€49,360",,,,,
,,4,,,"€51,269",,,,,
,,5,,,"€53,219",,,,,
,,6,,,"€55,306",,,,,
,,7,,,"€57,462",,,,,
,,8,,,"€59,558",,,,,
,,,,,,,,,,
LIBRARY,,,,,,,,,,
SUB LIBRARIAN,,1,,,"€64,830",,,,,
,,2,,,"€68,413",,,,,
,,3,,,"€71,505",,,,,
,,4,,,"€74,734",,,,,
,,5,,,"€77,824",,,,,
,,6,,,"€80,106",,,,,
,,7,,,"€83,065",,,,,
,,8,,,"€86,613",,,,,
,,9,,,"€90,308",,,,,
,,10,,,"€93,715",,,,,
,,11,,,"€97,127",,,,,
,,12,,,"€100,531",,,,,
,,13,,,"€102,234",,,,,
,,14,,,"€104,052",,,,,
,,15,,,"€106,850",,,,,
,,,,,,,,,,
,,,,,,,,,,
ASSISTANT LIBRARIAN 2,,1,,,"€58,657",,,,,
,,2,,,"€60,174",,,,,
,,3,,,"€61,704",,,,,
,,4,,,"€63,240",,,,,
,,5,,,"€64,776",,,,,
,,6,,,"€66,317",,,,,
,,7,,,"€68,510",,,,,
,,8,,,"€72,779",,,,,
,,9,,,"€77,291",,,,,
,,10,,,"€79,691",,,,,
,,11,,,"€83,397",,,,,
,,,,,,,,,,
ASSISTANT LIBRARIAN 1,,1,,,"€44,751",,,,,
,,2,,,"€47,050",,,,,
,,3,,,"€49,364",,,,,
,,4,,,"€51,269",,,,,
,,5,,,"€53,605",,,,,
,,6,,,"€55,126",,,,,
,,7,,,"€56,632",,,,,
,,8,,,"€57,745",,,,,
,,9,,,"€59,104",,,,,
,,10,,,"€60,468",,,,,
,,11,,,"€61,415",,,,,
,,12,,,"€62,371",,,,,
,,13,,,"€64,409",,,,,
,,14,,,"€66,805",,,,,
,,15,,,"€69,293",,,,,
,,,,,,,,,,
SENIOR LIBRARY ASSISTANT,,1,,,"€39,337",,,,,
,,2,,,"€39,808",,,,,
,,3,,,"€40,882",,,,,
,,4,,,"€41,881",,,,,
,,5,,,"€42,439",,,,,
,,6,,,"€44,325",,,,,
,,7,,,"€45,156",,,,,
,,8,,,"€46,242",,,,,
,,9,,,"€47,587",,,,,
,,10,,,"€48,932",,,,,
,,11,,,"€50,539",,,,,
,,12,,,"€51,945",,,,,
,,13,,,"€53,657",,,,,
,,,,,,,,,,
LIBRARY ASSISTANT,,1,,,"€33,703",,,,,
,,2,,,"€35,429",,,,,
,,3,,,"€36,934",,,,,
,,4,,,"€37,881",,,,,
,,5,,,"€39,133",,,,,
,,6,,,"€40,055",,,,,
,,7,,,"€41,318",,,,,
,,8,,,"€43,868",,,,,
,,9,,,"€45,138",,,,,
,,10,,,"€45,798",,,,,
,,,,,,,,,,
LIBRARY ATTENDANT,,1,,,"€33,403",,,,,
,,2,,,"€34,054",,,,,
,,3,,,"€36,605",,,,,
,,4,,,"€36,966",,,,,
,,5,,,"€36,989",,,,,
,,6,,,"€37,352",,,,,
,,7,,,"€37,714",,,,,
,,8,,,"€38,072",,,,,
,,9,,,"€38,428",,,,,
,,10,,,"€38,443",,,,,
,,11,,,"€38,970",,,,,
,,12,,,"€39,512",,,,,
,,13,,,"€40,039",,,,,
,,14,,,"€40,230",,,,,
INFORMATION TECHNOLOGY,,,,,,,,,,
ANALYST PROGRAMMER 3,,1,,,"€67,132",,,,,
,,2,,,"€79,088",,,,,
,,3,,,"€82,103",,,,,
,,4,,,"€86,389",,,,,
,,5,,,"€90,697",,,,,
,,6,,,"€95,004",,,,,
,,7,,,"€99,296",,,,,
,,8,,,"€103,583",,,,,
,,9,,,"€107,875",,,,,
,,,,,,,,,,
ANALYST PROGRAMMER 2,,1,,,"€53,677",,,,,
,,2,,,"€55,287",,,,,
,,3,,,"€56,903",,,,,
,,4,,,"€58,501",,,,,
,,5,,,"€60,116",,,,,
,,6,,,"€61,717",,,,,
,,7,,,"€64,375",,,,,
Long Service Increment -3 yrs,,8,,,"€66,805",,,,,
Long Service Increment -6 yrs,,9,,,"€69,293",,,,,
,,,,,,,,,,
ANALYST PROGRAMMER 1,,1,,,"€42,012",,,,,
,,2,,,"€44,629",,,,,
,,3,,,"€46,172",,,,,
,,4,,,"€47,611",,,,,
,,5,,,"€49,079",,,,,
,,6,,,"€50,543",,,,,
,,7,,,"€52,039",,,,,
,,8,,,"€53,562",,,,,
